,Hourly interval,,,,,,,,,,,,,,,,Total
Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
1,2,4,4,2,4,2,4,1,5,4,5,3,,,,,40
2,3,4,4,5,4,5,4,2,4,5,,,,,,,40
3,1,3,2,2,3,6,4,2,3,3,3,4,2,2,,,40
4,2,3,4,1,4,3,3,1,3,3,4,2,3,2,2,,40
5,2,5,5,3,5,5,5,2,4,4,,,,,,,40
6,1,3,3,1,3,3,2,1,1,2,2,2,2,2,2,1,31
7,3,4,3,2,4,5,5,3,2,4,3,2,,,,,40
8,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,20
9,1,2,3,2,2,2,2,1,2,2,2,2,2,3,2,1,31
10,2,6,6,3,4,2,4,2,6,5,,,,,,,40
11,1,2,1,1,2,1,3,1,1,1,2,2,1,1,2,1,23
12,2,3,4,2,2,1,2,2,3,2,3,4,3,3,3,,39
13,2,3,2,1,3,2,3,2,2,1,1,2,3,4,,,31
14,1,4,3,1,2,1,3,2,3,2,4,5,6,3,,,40
15,3,6,8,4,5,3,5,6,,,,,,,,,40
16,1,3,1,2,3,3,3,1,2,3,3,4,4,3,2,1,39
17,1,3,2,1,1,1,2,1,2,2,1,2,2,2,,,23
18,2,3,4,3,2,1,1,2,3,3,1,4,4,3,2,1,39
19,1,4,3,3,1,2,2,3,2,3,2,4,3,4,3,,40
20,1,2,3,2,2,2,1,1,1,3,2,3,3,2,2,1,31
